UID        PID  PPID  C STIME TTY          TIME CMD
  118     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [card0-crtc3]
  119     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [card0-crtc4]
  120     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [card0-crtc5]
  121     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/R-sdhci]
  122     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [irq/68-mmc0]
  125     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/R-v3d_bin]
  126     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/R-v3d_render]
  127     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/R-v3d_tfu]
  128     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/R-v3d_csd]
  129     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/R-v3d_cache_c
  130     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/R-v3d_cpu]
  147     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/3:1H-kblockd]
  148     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:47 [kworker/R-mmc_complet
  190     2 ?        Fri Aug 28 15:50:39 2026 10-22:50:46 [jbd2/mmcblk0p6-8]
  191     2 ?        Fri Aug 28 15:50:39 2026 10-22:50:46 [kworker/R-ext4-rsv-co
  233     2 ?        Fri Aug 28 15:50:40 2026 10-22:50:46 [jbd2/mmcblk0p2-8]
  234     2 ?        Fri Aug 28 15:50:40 2026 10-22:50:46 [kworker/R-ext4-rsv-co
  238     2 ?        Fri Aug 28 15:50:40 2026 10-22:50:46 [jbd2/mmcblk0p3-8]
  239     2 ?        Fri Aug 28 15:50:40 2026 10-22:50:46 [kworker/R-ext4-rsv-co
  241     2 ?        Fri Aug 28 15:50:40 2026 10-22:50:45 [jbd2/mmcblk0p10-8]
  242     2 ?        Fri Aug 28 15:50:40 2026 10-22:50:45 [kworker/R-ext4-rsv-co
  280     2 ?        Fri Aug 28 15:50:47 2026 10-22:50:38 [jbd2/mmcblk0p9-8]
  281     2 ?        Fri Aug 28 15:50:47 2026 10-22:50:38 [kworker/R-ext4-rsv-co
  284     1 ?        Fri Aug 28 15:50:47 2026 10-22:50:38 /usr/lib/systemd/syste
  289     2 ?        Fri Aug 28 15:50:47 2026 10-22:50:38 [f2fs_ckpt-179:5]
  290     2 ?        Fri Aug 28 15:50:47 2026 10-22:50:38 [f2fs_flush-179:5]
  291     2 ?        Fri Aug 28 15:50:47 2026 10-22:50:38 [f2fs_discard-179:5]
  307     2 ?        Fri Aug 28 15:50:48 2026 10-22:50:38 [f2fs_gc-179:5]
  328     1 ?        Fri Aug 28 15:50:48 2026 10-22:50:37 /usr/lib/systemd/syste
  389     2 ?        Fri Aug 28 15:50:49 2026 10-22:50:37 [kworker/u21:2-hci0]
  393     1 ?        Fri Aug 28 15:50:49 2026 10-22:50:36 /usr/bin/hal/hal-backe
  407     1 ?        Fri Aug 28 15:50:50 2026 10-22:50:35 /usr/sbin/actd
  408     1 ?        Fri Aug 28 15:50:50 2026 10-22:50:35 /usr/sbin/buxton2d -f
  409     1 ?        Fri Aug 28 15:50:50 2026 10-22:50:35 /usr/bin/key-manager
  412     1 ?        Fri Aug 28 15:50:50 2026 10-22:50:35 /usr/bin/esd
  413     1 ?        Fri Aug 28 15:50:50 2026 10-22:50:35 /usr/bin/pkginfo-serve
  414     1 ?        Fri Aug 28 15:50:50 2026 10-22:50:35 /usr/bin/resourced
  415     1 ?        Fri Aug 28 15:50:50 2026 10-22:50:35 /usr/bin/dlog_logger
  439     1 ?        Fri Aug 28 15:50:50 2026 10-22:50:35 /usr/bin/sensord
  440     1 ?        Fri Aug 28 15:50:51 2026 10-22:50:35 /usr/bin/amd
  442     1 ?        Fri Aug 28 15:50:51 2026 10-22:50:35 /usr/bin/cynara
  443     1 ?        Fri Aug 28 15:50:51 2026 10-22:50:35 /usr/bin/dbus-daemon -
  446     1 ?        Fri Aug 28 15:50:51 2026 10-22:50:35 /usr/bin/deviced
  451     1 ?        Fri Aug 28 15:50:51 2026 10-22:50:35 /usr/bin/license-manag
  455     1 ?        Fri Aug 28 15:50:51 2026 10-22:50:35 /usr/bin/media-server
  462     1 ?        Fri Aug 28 15:50:51 2026 10-22:50:35 /usr/bin/pushd
  476     1 ?        Fri Aug 28 15:50:51 2026 10-22:50:34 login -- root
